track_name,artist_name,album_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_year
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4,84,1976
Take It Easy - 2013 Remaster,Eagles,Eagles (2013 Remaster),4yugZvBYaoREkJKtbG08Qr,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,audio_features,4yugZvBYaoREkJKtbG08Qr,spotify:track:4yugZvBYaoREkJKtbG08Qr,https://api.spotify.com/v1/tracks/4yugZvBYaoREkJKtbG08Qr,https://api.spotify.com/v1/audio-analysis/4yugZvBYaoREkJKtbG08Qr,211578,4,80,1972
One of These Nights - 2013 Remaster,Eagles,One of These Nights (2013 Remaster),608xszaAxVh4m7NcKJiAbF,0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,audio_features,608xszaAxVh4m7NcKJiAbF,spotify:track:608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/tracks/608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/audio-analysis/608xszaAxVh4m7NcKJiAbF,291686,4,74,1975
Life in the Fast Lane - 2013 Remaster,Eagles,Hotel California (2013 Remaster),6gXrEUzibufX9xYPk3HD5p,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,audio_features,6gXrEUzibufX9xYPk3HD5p,spotify:track:6gXrEUzibufX9xYPk3HD5p,https://api.spotify.com/v1/tracks/6gXrEUzibufX9xYPk3HD5p,https://api.spotify.com/v1/audio-analysis/6gXrEUzibufX9xYPk3HD5p,286220,4,72,1976
Tequila Sunrise - 2013 Remaster,Eagles,Desperado (2013 Remaster),1WYokrkFOb9TFVuTrmxTTt,0.632,0.397,7,-12.855,1,0.0265,0.536,0.0421,0.106,0.731,110.578,audio_features,1WYokrkFOb9TFVuTrmxTTt,spotify:track:1WYokrkFOb9TFVuTrmxTTt,https://api.spotify.com/v1/tracks/1WYokrkFOb9TFVuTrmxTTt,https://api.spotify.com/v1/audio-analysis/1WYokrkFOb9TFVuTrmxTTt,173057,4,70,1973
Peaceful Easy Feeling - 2013 Remaster,Eagles,Eagles (2013 Remaster),40h65HAR8COEoqkMwUUQHu,0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,audio_features,40h65HAR8COEoqkMwUUQHu,spotify:track:40h65HAR8COEoqkMwUUQHu,https://api.spotify.com/v1/tracks/40h65HAR8COEoqkMwUUQHu,https://api.spotify.com/v1/audio-analysis/40h65HAR8COEoqkMwUUQHu,257963,4,70,1972
Love Will Keep Us Alive,Eagles,Hell Freezes Over (Remaster 2018),7bJSiwLFnhoO7g83bWkCtA,0.658,0.374,9,-11.684,1,0.026,0.721,1.28e-05,0.112,0.367,98.892,audio_features,7bJSiwLFnhoO7g83bWkCtA,spotify:track:7bJSiwLFnhoO7g83bWkCtA,https://api.spotify.com/v1/tracks/7bJSiwLFnhoO7g83bWkCtA,https://api.spotify.com/v1/audio-analysis/7bJSiwLFnhoO7g83bWkCtA,243453,4,69,1994
Lyin' Eyes - 2013 Remaster,Eagles,One of These Nights (2013 Remaster),5lQKRR3MdJLtAwNBiT8Cq0,0.669,0.673,7,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,audio_features,5lQKRR3MdJLtAwNBiT8Cq0,spotify:track:5lQKRR3MdJLtAwNBiT8Cq0,https://api.spotify.com/v1/tracks/5lQKRR3MdJLtAwNBiT8Cq0,https://api.spotify.com/v1/audio-analysis/5lQKRR3MdJLtAwNBiT8Cq0,381999,4,68,1975
Desperado - 2013 Remaster,Eagles,Desperado (2013 Remaster),2TjnCxxQRYn56Ye8gkUKiW,0.228,0.224,7,-12.749,1,0.0311,0.946,0.000222,0.273,0.18,60.3,audio_features,2TjnCxxQRYn56Ye8gkUKiW,spotify:track:2TjnCxxQRYn56Ye8gkUKiW,https://api.spotify.com/v1/tracks/2TjnCxxQRYn56Ye8gkUKiW,https://api.spotify.com/v1/audio-analysis/2TjnCxxQRYn56Ye8gkUKiW,213713,4,68,1973
New Kid in Town - 2013 Remaster,Eagles,Hotel California (2013 Remaster),6Zyz8lsnMFpIrCTuvGurCB,0.649,0.425,4,-9.811,1,0.0267,0.378,0.0013,0.108,0.651,107.383,audio_features,6Zyz8lsnMFpIrCTuvGurCB,spotify:track:6Zyz8lsnMFpIrCTuvGurCB,https://api.spotify.com/v1/tracks/6Zyz8lsnMFpIrCTuvGurCB,https://api.spotify.com/v1/audio-analysis/6Zyz8lsnMFpIrCTuvGurCB,304926,4,67,1976
"Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,"Coca Cola (From ""Luka Chuppi"")",352wEkChkiClswqwDoM0nj,0.722,0.867,0,-3.652,0,0.0904,0.121,0.0052,0.123,0.893,102.009,audio_features,352wEkChkiClswqwDoM0nj,spotify:track:352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/tracks/352wEkChkiClswqwDoM0nj,https://api.spotify.com/v1/audio-analysis/352wEkChkiClswqwDoM0nj,179225,4,66,2019
"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",7ofWUKeNCUw1P64ArIwG9b,0.8,0.972,10,-2.053,0,0.0405,0.15,0.00337,0.351,0.694,110.054,audio_features,7ofWUKeNCUw1P64ArIwG9b,spotify:track:7ofWUKeNCUw1P64ArIwG9b,https://api.spotify.com/v1/tracks/7ofWUKeNCUw1P64ArIwG9b,https://api.spotify.com/v1/audio-analysis/7ofWUKeNCUw1P64ArIwG9b,177383,4,59,2019
Zindagi Bata De,Tony Kakkar,Meherbaan,7EEOuaVU4b3ktf4TEMDHxB,0.555,0.497,4,-6.58,1,0.155,0.462,0.0,0.143,0.152,94.84,audio_features,7EEOuaVU4b3ktf4TEMDHxB,spotify:track:7EEOuaVU4b3ktf4TEMDHxB,https://api.spotify.com/v1/tracks/7EEOuaVU4b3ktf4TEMDHxB,https://api.spotify.com/v1/audio-analysis/7EEOuaVU4b3ktf4TEMDHxB,155526,4,57,2023
Valentine's Mashup 2019,Tony Kakkar,Valentine's Mashup 2019,1MhHomaXgrPMBroXkpWSSa,0.595,0.61,7,-6.887,0,0.0499,0.332,2.14e-06,0.0628,0.314,97.974,audio_features,1MhHomaXgrPMBroXkpWSSa,spotify:track:1MhHomaXgrPMBroXkpWSSa,https://api.spotify.com/v1/tracks/1MhHomaXgrPMBroXkpWSSa,https://api.spotify.com/v1/audio-analysis/1MhHomaXgrPMBroXkpWSSa,212522,4,57,2019
Oh Humsafar,Tony Kakkar,Oh Humsafar,7Kfuk1S0nmjzRiAnezoC6j,0.61,0.577,8,-7.5,0,0.0404,0.29,1.23e-06,0.151,0.476,75.062,audio_features,7Kfuk1S0nmjzRiAnezoC6j,spotify:track:7Kfuk1S0nmjzRiAnezoC6j,https://api.spotify.com/v1/tracks/7Kfuk1S0nmjzRiAnezoC6j,https://api.spotify.com/v1/audio-analysis/7Kfuk1S0nmjzRiAnezoC6j,330320,4,52,2018
